country,league,season,player_name,age,position,nationality,height,weight,appearances,starts,minutes,goals_total,assists,penalty_won,penalty_committed,penalty_scored,penalty_missed,yellow_cards,yellowred_cards,red_cards,offsides_per90,shots_total_per90,shots_on_per90,goals_total_per90,assists_per90,goals_plus_assists_per90,non_penalty_goals_per90,passes_total_per90,passes_key_per90,tackles_total_per90,blocks_per90,interceptions_per90,tackles_plus_interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempts_per90,dribbles_success_per90,dribbles_past_per90,fouls_drawn_per90,fouls_committed_per90,yellow_cards_per90,yellowred_cards_per90,red_cards_per90,passes_accuracy_pct,shots_on_target_pct,duels_won_pct,dribbles_success_pct,rating_weighted
portugal,Primeira Liga,2025,Abdu Conté,27.0,M,Portugal,183.0,84.0,23,17,1445.0,0.0,2.0,0.0,3.0,0,0,1,0.0,0,0.06228373702422145,0.3737024221453287,0.0,0.0,0.1245674740484429,0.1245674740484429,0.0,28.899653979238753,1.0588235294117647,1.681660899653979,0.1245674740484429,0.31141868512110726,1.9930795847750864,6.913494809688581,3.737024221453287,0.9342560553633218,0.7474048442906575,0.43598615916955014,1.0588235294117647,1.8685121107266436,0.06228373702422145,0.0,0.0,21.49134199134199,0.0,54.054054054054056,80.0,6.81840830449827
portugal,Primeira Liga,2025,Abdu Dafe,17.0,M,Portugal,,,1,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
portugal,Primeira Liga,2025,Abraham Marcus,25.0,M,Nigeria,178.0,73.0,31,30,2574.0,5.0,5.0,0.0,0.0,0,0,2,0.0,1,0.2097902097902098,1.1538461538461537,0.4545454545454546,0.17482517482517482,0.17482517482517482,0.34965034965034963,0.17482517482517482,24.895104895104893,1.5034965034965033,1.3286713286713288,0.1048951048951049,0.48951048951048953,1.8181818181818183,13.496503496503497,6.538461538461539,3.4265734265734267,1.8181818181818183,0.34965034965034963,1.9230769230769231,1.013986013986014,0.06993006993006994,0.0,0.03496503496503497,20.498595505617978,39.39393939393939,48.44559585492228,53.06122448979592,7.12008547008547
portugal,Primeira Liga,2025,Aderllan Santos,36.0,D,Brazil,193.0,83.0,17,12,1032.0,1.0,0.0,0.0,0.0,0,0,2,0.0,0,0.0872093023255814,0.872093023255814,0.1744186046511628,0.0872093023255814,0.0,0.0872093023255814,0.0872093023255814,34.88372093023256,0.0872093023255814,2.0930232558139537,0.7848837209302325,1.1337209302325582,3.2267441860465116,8.895348837209301,6.540697674418605,0.1744186046511628,0.1744186046511628,0.3488372093023256,0.2616279069767442,0.6976744186046512,0.1744186046511628,0.0,0.0,33.881909547738694,20.0,73.52941176470588,100.0,7.0489815712900095
portugal,Primeira Liga,2025,Adrian Leon Barišić,24.0,D,Bosnia and Herzegovina,192.0,86.0,6,6,452.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.19911504424778761,0.19911504424778761,0.0,0.0,0.0,0.0,57.54424778761062,0.19911504424778761,1.592920353982301,0.5973451327433629,0.995575221238938,2.588495575221239,7.168141592920354,4.778761061946903,0.39823008849557523,0.19911504424778761,0.5973451327433629,0.19911504424778761,0.7964601769911505,0.0,0.0,0.0,45.58477508650519,100.0,66.66666666666666,50.0,6.830973451327433
portugal,Primeira Liga,2025,Adriano Firmino,26.0,M,Brazil,186.0,79.0,18,16,1447.0,0.0,0.0,0.0,0.0,0,0,6,0.0,1,0.0,0.6841741534208707,0.1243953006219765,0.0,0.0,0.0,0.0,46.89702833448514,0.5597788527988943,0.497581202487906,0.0,0.8085694540428472,1.3061506565307532,6.779543883897719,3.4830684174153426,1.7415342087076713,0.995162404975812,0.4353835521769178,1.3061506565307532,1.243953006219765,0.37318590186592954,0.0,0.06219765031098825,40.855437665782496,18.181818181818183,51.37614678899083,57.14285714285714,6.707256392536282
portugal,Primeira Liga,2025,Adriel,24.0,G,Brazil,190.0,79.0,16,16,1440.0,0.0,1.0,0.0,0.0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,32.3125,0.125,0.0625,0.0,0.0,0.0625,0.625,0.5,0.0,0.0,0.0625,0.1875,0.0,0.125,0.0,0.0,19.09090909090909,,80.0,,7.29375
portugal,Primeira Liga,2025,Adriel Guilherme de Moraes,19.0,F,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portugal,Primeira Liga,2025,Afonso Assis,19.0,M,Portugal,183.0,76.0,18,10,896.0,1.0,1.0,0.0,0.0,0,0,4,0.0,0,0.10044642857142856,0.40178571428571425,0.20089285714285712,0.10044642857142856,0.10044642857142856,0.20089285714285712,0.10044642857142856,54.140625,0.6026785714285714,1.2053571428571428,0.20089285714285712,1.7075892857142856,2.912946428571429,9.642857142857142,4.720982142857143,0.703125,0.3013392857142857,1.1049107142857142,1.40625,1.908482142857143,0.40178571428571425,0.0,0.0,33.998144712430424,50.0,48.95833333333333,42.857142857142854,6.646205357142857
portugal,Primeira Liga,2025,Afonso Patrao,18.0,F,Portugal,182.0,69.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
